subject,PO8,time,bsl,stimulus,condition
001,5.77932290192897e-06,0.1494140625,-3.2894483388516515e-23,car,intact
001,8.570455075275275e-06,0.1171875,-1.3157793355406606e-22,face,intact
001,5.397787762463973e-06,0.142578125,-1.2335431270693695e-23,car,scrambled
001,6.282871055417243e-06,0.1259765625,-1.6447241694258259e-22,face,scrambled
002,9.05415809684512e-06,0.1396484375,8.223620847129129e-23,car,intact
002,8.021783687432377e-06,0.1328125,8.223620847129129e-23,face,intact
002,1.0584048437635766e-05,0.1396484375,-3.2894483388516515e-23,car,scrambled
002,9.402821154791007e-06,0.1435546875,7.195668241237989e-23,face,scrambled
003,1.4700968272122219e-05,0.1376953125,-1.151306918598078e-22,car,intact
003,1.3007153578208388e-05,0.130859375,6.578896677703303e-23,face,intact
003,1.8189079870748776e-05,0.1455078125,-3.2894483388516515e-23,car,scrambled
003,2.090376938626196e-05,0.1455078125,4.934172508277478e-23,face,scrambled
004,1.6458428800378957e-06,0.1103515625,0.0,car,intact
004,-4.43964226524762e-06,0.138671875,6.578896677703303e-23,face,intact
004,4.291404244395461e-06,0.1103515625,4.934172508277478e-23,car,scrambled
004,5.292971280846145e-06,0.1103515625,1.6447241694258258e-23,face,scrambled
005,6.201336451886714e-06,0.119140625,2.467086254138739e-23,car,intact
005,6.3866012473804855e-06,0.1181640625,6.578896677703303e-23,face,intact
005,6.283955986312499e-06,0.1220703125,-2.467086254138739e-23,car,scrambled
005,8.536537520947182e-06,0.1201171875,4.934172508277478e-23,face,scrambled
006,3.136308833310691e-06,0.1474609375,2.467086254138739e-23,car,intact
006,-3.233371415905595e-06,0.150390625,-1.6447241694258258e-23,face,intact
006,9.87501885348973e-07,0.1201171875,-3.2894483388516515e-23,car,scrambled
006,2.0235929117489633e-06,0.125,8.223620847129129e-23,face,scrambled
007,6.415999568177422e-06,0.11328125,5.345353550633934e-23,car,intact
007,-7.700022208535847e-06,0.150390625,0.0,face,intact
007,5.961023407762543e-06,0.1298828125,4.934172508277478e-23,car,scrambled
007,6.930333358054956e-06,0.119140625,1.6447241694258258e-23,face,scrambled
008,9.536307333218895e-06,0.1103515625,0.0,car,intact
008,-8.439488781684718e-06,0.1484375,3.2894483388516515e-23,face,intact
008,9.172103153868998e-06,0.111328125,-1.6447241694258258e-23,car,scrambled
008,6.5619454682316965e-06,0.1181640625,-1.6447241694258258e-23,face,scrambled
009,6.182049794291202e-06,0.111328125,-1.3157793355406606e-22,car,intact
009,-7.969420859436554e-06,0.150390625,0.0,face,intact
009,7.45961690831643e-06,0.1142578125,9.868345016554956e-23,car,scrambled
009,8.377539295068929e-06,0.11328125,0.0,face,scrambled
010,5.798229270275952e-06,0.1435546875,1.3157793355406606e-22,car,intact
010,1.1867084284416755e-06,0.140625,-6.578896677703303e-23,face,intact
010,4.816396127182534e-06,0.14453125,9.045982931842042e-23,car,scrambled
010,3.552301797080852e-06,0.1376953125,3.0838578176734234e-23,face,scrambled
011,9.014275320923053e-06,0.12109375,-1.3157793355406606e-22,car,intact
011,9.38288376317296e-06,0.1220703125,-6.578896677703303e-23,face,intact
011,7.77412806873385e-06,0.1376953125,6.578896677703303e-23,car,scrambled
011,7.611359676974843e-06,0.134765625,-6.578896677703303e-23,face,scrambled
012,8.466747115025751e-06,0.142578125,-6.578896677703303e-23,car,intact
012,9.287199472247098e-06,0.1298828125,8.018030325950901e-23,face,intact
012,9.551457890966827e-06,0.1455078125,5.550944071812162e-23,car,scrambled
012,1.1612885820233862e-05,0.150390625,0.0,face,scrambled
013,1.597915526454945e-06,0.1103515625,-1.6447241694258258e-23,car,intact
013,1.896281859089778e-06,0.1103515625,0.0,face,intact
013,4.27270296548227e-06,0.1103515625,-3.2894483388516515e-23,car,scrambled
013,2.6281461815785705e-06,0.1181640625,0.0,face,scrambled
014,5.7243798826912495e-06,0.1103515625,-1.3671769658352179e-22,car,intact
014,-1.4963631703605651e-05,0.150390625,4.1118104235645644e-24,face,intact
014,6.701733819152626e-06,0.115234375,4.1118104235645647e-23,car,scrambled
014,8.053011737475216e-06,0.1171875,1.151306918598078e-22,face,scrambled
015,8.263407627632508e-06,0.1455078125,2.467086254138739e-23,car,intact
015,9.358961767542938e-06,0.14453125,5.345353550633934e-23,face,intact
015,8.219346327812242e-06,0.146484375,-6.167715635346847e-23,car,scrambled
015,9.753467924449586e-06,0.1435546875,2.467086254138739e-23,face,scrambled
016,2.1442583418804047e-05,0.1337890625,3.124975921909069e-22,car,intact
016,1.6820710711175592e-05,0.1162109375,6.578896677703303e-23,face,intact
016,2.558377631014308e-05,0.138671875,-6.578896677703303e-23,car,scrambled
016,2.4255405820369816e-05,0.13671875,0.0,face,scrambled
017,7.268172601643456e-06,0.134765625,0.0,car,intact
017,7.182913560943959e-06,0.1123046875,9.868345016554956e-23,face,intact
017,7.910191243681688e-06,0.1181640625,0.0,car,scrambled
017,9.277099084830436e-06,0.12109375,2.0559052117822823e-23,face,scrambled
018,1.0122360965140162e-05,0.1474609375,3.2894483388516515e-23,car,intact
018,1.10322118008384e-05,0.1318359375,-9.868345016554956e-23,face,intact
018,1.1545851621039519e-05,0.1357421875,1.3157793355406606e-22,car,scrambled
018,1.2876958048676745e-05,0.13671875,3.2894483388516515e-23,face,scrambled
019,6.2829609784772085e-06,0.1474609375,3.2894483388516515e-23,car,intact
019,7.85867691921592e-06,0.1474609375,6.578896677703303e-23,face,intact
019,1.120766871753414e-05,0.1494140625,-9.868345016554956e-23,car,scrambled
019,1.0564827618156676e-05,0.1474609375,-9.868345016554956e-23,face,scrambled
020,-3.696291234867399e-06,0.1103515625,-1.4596927003654205e-22,car,intact
020,-2.969449417847403e-06,0.142578125,3.2894483388516515e-23,face,intact
020,-5.016661016119399e-06,0.134765625,6.373306156525075e-23,car,scrambled
020,-5.85402692774993e-06,0.1337890625,-4.522991465921021e-23,face,scrambled
021,4.037253537821929e-06,0.150390625,0.0,car,intact
021,1.8554820388781554e-06,0.150390625,-1.6447241694258258e-23,face,intact
021,3.095413281606668e-06,0.150390625,6.578896677703303e-23,car,scrambled
021,-1.167479245893846e-06,0.1103515625,-6.99007772005976e-23,face,scrambled
022,4.926053237281024e-06,0.1318359375,3.2894483388516515e-23,car,intact
022,4.628444170020495e-06,0.1259765625,-2.467086254138739e-23,face,intact
022,6.9202334343642184e-06,0.142578125,3.2894483388516515e-23,car,scrambled
022,5.109323542186495e-06,0.134765625,-3.2894483388516515e-23,face,scrambled
023,9.03155687528483e-06,0.142578125,-2.302613837196156e-22,car,intact
023,8.994352496467491e-06,0.1435546875,-4.1118104235645647e-23,face,intact
023,8.354513961859771e-06,0.150390625,0.0,car,scrambled
023,9.6845094982212e-06,0.138671875,6.578896677703303e-23,face,scrambled
024,6.631367745418048e-06,0.134765625,0.0,car,intact
024,7.0868738111472895e-06,0.12109375,-9.868345016554956e-23,face,intact
024,6.983573539340866e-06,0.1328125,1.6447241694258258e-23,car,scrambled
024,8.849013109249601e-06,0.1298828125,6.578896677703303e-23,face,scrambled
025,1.145762060927983e-05,0.150390625,2.631558671081321e-22,car,intact
025,9.165213894142506e-06,0.1484375,-3.2894483388516515e-23,face,intact
025,7.291702569720081e-06,0.150390625,-1.3157793355406606e-22,car,scrambled
025,7.650482523619976e-06,0.150390625,-2.302613837196156e-22,face,scrambled
026,1.3399000495560378e-05,0.1328125,-1.9736690033109911e-22,car,intact
026,1.079024618402458e-05,0.12890625,5.75653459299039e-23,face,intact
026,1.4784139592337436e-05,0.1328125,0.0,car,scrambled
026,1.591194637906911e-05,0.1337890625,0.0,face,scrambled
027,2.8931313670694286e-06,0.1103515625,-4.934172508277478e-23,car,intact
027,5.776689270816863e-06,0.111328125,0.0,face,intact
027,6.971557464504746e-06,0.1123046875,6.167715635346847e-24,car,scrambled
027,6.326254043959307e-06,0.115234375,0.0,face,scrambled
028,6.361123490686531e-06,0.1416015625,4.934172508277478e-23,car,intact
028,5.191456772296449e-06,0.1162109375,3.2894483388516515e-23,face,intact
028,6.621720621827691e-06,0.150390625,2.467086254138739e-23,car,scrambled
028,7.2669585597852175e-06,0.1484375,0.0,face,scrambled
029,1.3970658956769586e-05,0.150390625,9.868345016554956e-23,car,intact
029,1.88447407977902e-05,0.1416015625,5.921007009932973e-22,face,intact
029,1.711234617637246e-05,0.150390625,-9.868345016554956e-23,car,scrambled
029,1.4129148217070044e-05,0.150390625,-3.2894483388516515e-23,face,scrambled
030,7.814119200990038e-06,0.140625,2.631558671081321e-22,car,intact
030,8.35190934946053e-06,0.119140625,5.139763029455706e-23,face,intact
030,7.396275240151987e-06,0.1279296875,-2.631558671081321e-22,car,scrambled
030,7.034024790280501e-06,0.150390625,-2.631558671081321e-22,face,scrambled
031,6.432658700183665e-06,0.150390625,-2.54932246261003e-22,car,intact
031,3.5920710252266687e-06,0.146484375,-6.578896677703303e-23,face,intact
031,5.14592605422785e-06,0.1201171875,3.2894483388516515e-23,car,scrambled
031,5.331083670989863e-06,0.1259765625,4.934172508277478e-23,face,scrambled
032,9.092911091562021e-06,0.150390625,4.934172508277478e-23,car,intact
032,5.236287257995552e-06,0.14453125,-3.2894483388516515e-23,face,intact
032,5.824086926643535e-06,0.150390625,6.578896677703303e-23,car,scrambled
032,5.66869937088789e-06,0.14453125,1.6447241694258258e-23,face,scrambled
033,1.0758847721880304e-05,0.1103515625,0.0,car,intact
033,1.0255559441164842e-05,0.1298828125,-2.1150124866210229e-22,face,intact
033,1.1431163919158181e-05,0.130859375,2.1381414202535737e-22,car,scrambled
033,1.3608060367130602e-05,0.1201171875,-4.934172508277478e-23,face,scrambled
034,2.0695509683308085e-05,0.1376953125,-9.161627600004796e-23,car,intact
034,2.0195152597060146e-05,0.1259765625,-6.578896677703303e-23,face,intact
034,2.861026186693978e-05,0.1357421875,3.2894483388516515e-23,car,scrambled
034,2.849368486029198e-05,0.13671875,-1.6447241694258258e-23,face,scrambled
035,5.413183996609001e-06,0.140625,-4.1118104235645647e-23,car,intact
035,4.910708566183521e-06,0.1103515625,-1.151306918598078e-22,face,intact
035,6.553201235363399e-06,0.1484375,7.401258762416217e-23,car,scrambled
035,6.810524401787672e-06,0.13671875,0.0,face,scrambled
036,1.060231022049519e-05,0.1455078125,6.578896677703303e-23,car,intact
036,1.1828929438252198e-05,0.1171875,-3.2894483388516515e-23,face,intact
036,1.55417404014615e-05,0.1494140625,-3.2894483388516515e-23,car,scrambled
036,1.4065802818539552e-05,0.150390625,2.467086254138739e-23,face,scrambled
037,1.4069148073602725e-05,0.1328125,6.578896677703303e-23,car,intact
037,1.4077898493831917e-05,0.126953125,8.223620847129129e-23,face,intact
037,1.941058685050422e-05,0.1376953125,1.3157793355406606e-22,car,scrambled
037,2.0538689535594166e-05,0.1416015625,0.0,face,scrambled
038,-4.0211056753699745e-06,0.150390625,0.0,car,intact
038,-1.1774424078542778e-05,0.150390625,-1.6447241694258258e-23,face,intact
038,-4.523936727163921e-06,0.150390625,9.045982931842042e-23,car,scrambled
038,3.928751902710698e-06,0.1220703125,-4.934172508277478e-23,face,scrambled
039,7.962046459418807e-06,0.150390625,4.934172508277478e-23,car,intact
039,8.55366902152518e-06,0.1484375,-9.045982931842042e-23,face,intact
039,7.223288832436097e-06,0.150390625,-7.401258762416217e-23,car,scrambled
039,1.0173488068727922e-05,0.150390625,6.578896677703303e-23,face,scrambled
040,-7.867262539912691e-07,0.125,6.578896677703303e-23,car,intact
040,-4.46714732042765e-06,0.14453125,2.467086254138739e-23,face,intact
040,2.2139579361931843e-06,0.1240234375,-1.9736690033109911e-22,car,scrambled
040,1.6072052726766469e-06,0.119140625,-6.99007772005976e-23,face,scrambled
